GEO_NAME,0,0 to 4 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,5 to 9 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over
Chatham-Kent,208635.0,5075.0,5875.0,5810.0,5520.0,5485.0,5630.0,5970.0,5675.0,5805.0,5670.0,6405.0,8125.0,8675.0,7735.0,6505.0,4445.0,2960.0,5895.0
Chilliwack,227540.0,6395.0,7130.0,6520.0,5640.0,6345.0,7000.0,7615.0,6620.0,6570.0,6860.0,6945.0,7810.0,8075.0,7200.0,6530.0,4625.0,2985.0,5790.0
Cobourg,41045.0,760.0,930.0,965.0,835.0,895.0,1015.0,1085.0,965.0,985.0,845.0,1055.0,1510.0,1680.0,1735.0,1805.0,1300.0,1010.0,2280.0
Collingwood,49625.0,970.0,1205.0,1165.0,1060.0,1260.0,1350.0,1325.0,1315.0,1420.0,1120.0,1350.0,1740.0,2095.0,2085.0,1930.0,1395.0,950.0,2155.0
Corner Brook,59525.0,1055.0,1380.0,1550.0,1610.0,1505.0,1585.0,1650.0,1790.0,1870.0,1330.0,2110.0,2410.0,2430.0,2325.0,2140.0,1395.0,885.0,1480.0
Cornwall,122825.0,2970.0,3360.0,3035.0,3015.0,3670.0,3580.0,3365.0,3255.0,3275.0,3310.0,3540.0,4745.0,5050.0,4435.0,4000.0,2735.0,1990.0,4170.0
Courtenay,126565.0,2435.0,3100.0,2855.0,2485.0,2815.0,3340.0,3840.0,3670.0,3550.0,3115.0,3590.0,4760.0,5405.0,5315.0,5035.0,3545.0,2245.0,4370.0
Cowansville,30465.0,725.0,790.0,720.0,625.0,810.0,825.0,875.0,895.0,790.0,770.0,855.0,1055.0,1215.0,1140.0,1130.0,810.0,575.0,1275.0
Cranbrook,54080.0,1125.0,1550.0,1430.0,1435.0,1510.0,1590.0,1615.0,1570.0,1540.0,1340.0,1730.0,2065.0,2150.0,2075.0,1650.0,1175.0,775.0,1430.0
Dawson Creek,35750.0,1120.0,1085.0,1045.0,1115.0,1290.0,1370.0,1345.0,1075.0,1050.0,1215.0,1045.0,1230.0,1170.0,925.0,695.0,450.0,320.0,640.0
Dolbeau-Mistassini,30610.0,645.0,920.0,785.0,630.0,615.0,670.0,815.0,955.0,780.0,775.0,795.0,1260.0,1455.0,1270.0,1150.0,770.0,450.0,1105.0
Drummondville,203220.0,5215.0,6060.0,5415.0,5185.0,5610.0,5940.0,6075.0,7225.0,5940.0,5720.0,5840.0,7250.0,7485.0,7125.0,6215.0,4260.0,2625.0,4835.0
Duncan,95165.0,1970.0,2520.0,2350.0,2035.0,2100.0,2510.0,2750.0,2620.0,2565.0,2445.0,2845.0,3670.0,4095.0,4035.0,3645.0,2340.0,1575.0,3020.0
Edmonton,2836240.0,83630.0,89160.0,80195.0,88185.0,99195.0,113995.0,116235.0,102840.0,90635.0,91040.0,85130.0,88310.0,85115.0,69870.0,52960.0,33995.0,23245.0,48790.0
Edmundston,44290.0,715.0,1030.0,1010.0,950.0,955.0,1010.0,1150.0,1265.0,1360.0,840.0,1415.0,1890.0,2155.0,2000.0,1755.0,1090.0,740.0,1650.0
Elliot Lake,22740.0,355.0,420.0,375.0,350.0,405.0,470.0,485.0,445.0,420.0,400.0,590.0,875.0,1240.0,1285.0,1320.0,910.0,590.0,860.0
Essa,45945.0,1455.0,1550.0,1345.0,1220.0,1465.0,1825.0,1915.0,1545.0,1540.0,1615.0,1560.0,1795.0,1410.0,1015.0,800.0,480.0,250.0,360.0
Estevan,25600.0,760.0,840.0,775.0,655.0,810.0,950.0,945.0,905.0,805.0,825.0,750.0,920.0,830.0,695.0,460.0,350.0,230.0,590.0
Fort St. John,57455.0,2085.0,2020.0,1730.0,1980.0,2520.0,2610.0,2465.0,2025.0,1755.0,2000.0,1675.0,1675.0,1470.0,1075.0,670.0,445.0,295.0,480.0
Fredericton,217225.0,5020.0,6005.0,5995.0,7735.0,7225.0,7045.0,7345.0,7000.0,7010.0,6005.0,6950.0,7755.0,7160.0,6485.0,5550.0,3715.0,2480.0,4265.0
Gander,26830.0,565.0,780.0,800.0,670.0,645.0,780.0,835.0,800.0,980.0,675.0,1070.0,980.0,960.0,805.0,775.0,505.0,405.0,760.0
Granby,181670.0,4215.0,5225.0,4535.0,3965.0,4525.0,4915.0,5235.0,5755.0,5100.0,5005.0,5355.0,7185.0,7900.0,6865.0,5870.0,4150.0,2565.0,4945.0
Grand Falls-Windsor,27700.0,545.0,760.0,725.0,675.0,620.0,680.0,755.0,850.0,890.0,625.0,990.0,1090.0,1180.0,1080.0,910.0,640.0,505.0,665.0
Grande Prairie,128285.0,4680.0,4505.0,3800.0,4115.0,5330.0,6050.0,6080.0,4860.0,4150.0,4790.0,3335.0,3480.0,3045.0,2295.0,1405.0,900.0,600.0,1440.0
Greater Sudbury / Grand Sudbury,341205.0,7740.0,9385.0,9040.0,10675.0,10990.0,10585.0,10490.0,10410.0,10565.0,9215.0,10870.0,13300.0,12630.0,10680.0,8890.0,6215.0,4440.0,8950.0
Guelph,331180.0,8345.0,9345.0,9795.0,11725.0,12035.0,11945.0,11520.0,10565.0,10680.0,9245.0,10760.0,11435.0,10235.0,8355.0,7165.0,4995.0,3495.0,7890.0
Halifax,931410.0,21030.0,24195.0,23330.0,33365.0,36205.0,34790.0,32335.0,29970.0,29485.0,24120.0,30110.0,34180.0,31710.0,26525.0,22415.0,14655.0,9035.0,16480.0
Hamilton,1570365.0,39045.0,44180.0,44550.0,47580.0,51275.0,53585.0,52920.0,49540.0,49325.0,42585.0,51860.0,56825.0,52270.0,43570.0,38015.0,27110.0,19310.0,43255.0
Hawkesbury,24030.0,430.0,565.0,540.0,470.0,635.0,555.0,550.0,550.0,660.0,475.0,750.0,1015.0,1070.0,1150.0,925.0,780.0,425.0,905.0
Hawkesbury (Ontario part),20390.0,335.0,465.0,450.0,390.0,530.0,440.0,465.0,445.0,570.0,390.0,645.0,900.0,920.0,1005.0,795.0,660.0,375.0,830.0
Hawkesbury (Quebec part),3630.0,90.0,100.0,85.0,85.0,110.0,120.0,80.0,105.0,90.0,80.0,105.0,120.0,150.0,140.0,130.0,120.0,50.0,75.0
High River,28655.0,675.0,970.0,940.0,620.0,630.0,730.0,865.0,975.0,855.0,800.0,805.0,920.0,1000.0,945.0,985.0,735.0,470.0,795.0
Ingersoll,27385.0,790.0,920.0,780.0,750.0,835.0,895.0,970.0,820.0,865.0,790.0,885.0,1040.0,1010.0,745.0,605.0,405.0,270.0,620.0
Joliette,105410.0,2380.0,2710.0,2330.0,2405.0,2855.0,2960.0,2940.0,3005.0,2690.0,2550.0,2795.0,3655.0,4265.0,4130.0,3710.0,3080.0,2075.0,4330.0
Kamloops,228290.0,5055.0,6080.0,5890.0,6940.0,7680.0,7745.0,7800.0,6715.0,6630.0,5835.0,7135.0,8015.0,8500.0,7355.0,6390.0,4345.0,3010.0,6050.0
Kawartha Lakes,158500.0,3395.0,3610.0,3420.0,3655.0,4060.0,4275.0,4215.0,3900.0,3955.0,3530.0,4810.0,6770.0,7295.0,6995.0,5950.0,4215.0,2600.0,5195.0
Kelowna,444325.0,8985.0,11110.0,11075.0,13605.0,14435.0,14715.0,14765.0,13185.0,12870.0,10515.0,13620.0,16125.0,17005.0,15050.0,13115.0,9065.0,6405.0,13045.0
Kenora,29930.0,695.0,825.0,745.0,790.0,960.0,1000.0,890.0,915.0,875.0,770.0,890.0,1165.0,1260.0,1025.0,845.0,505.0,375.0,865.0
Kentville,53860.0,1095.0,1410.0,1415.0,1460.0,1405.0,1525.0,1460.0,1615.0,1625.0,1340.0,1875.0,2170.0,2255.0,1975.0,1740.0,1170.0,710.0,1375.0
Kingston,345090.0,7635.0,8810.0,9225.0,11755.0,12155.0,11685.0,10835.0,10110.0,9550.0,8365.0,10595.0,12720.0,12145.0,10990.0,9710.0,6840.0,4675.0,9495.0
Kitchener - Cambridge - Waterloo,1151690.0,30730.0,34590.0,34735.0,41905.0,45370.0,43105.0,40825.0,37315.0,36335.0,33275.0,36440.0,37915.0,33595.0,27730.0,23265.0,16090.0,11070.0,23110.0
Lachute,28200.0,670.0,690.0,650.0,605.0,745.0,790.0,725.0,770.0,680.0,640.0,795.0,1180.0,1185.0,1115.0,920.0,855.0,515.0,1150.0
Lacombe,26795.0,750.0,980.0,875.0,760.0,725.0,860.0,930.0,850.0,790.0,900.0,740.0,890.0,830.0,755.0,630.0,445.0,315.0,745.0
