GEO_NAME,0,"$10,000 to $19,999","$100,000 and over","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $69,999","$70,000 to $79,999","$80,000 to $89,999","$90,000 to $99,999","Under $10,000 (including loss)"
Victoriaville,84200.0,5830.0,4100.0,7820.0,5995.0,5880.0,4520.0,2945.0,2030.0,1440.0,820.0,2210.0
Wasaga Beach,43370.0,3080.0,3010.0,3970.0,3105.0,2580.0,1865.0,1400.0,1040.0,745.0,565.0,1375.0
Wetaskiwin,19655.0,990.0,1260.0,1880.0,1290.0,1120.0,865.0,735.0,530.0,365.0,260.0,665.0
Weyburn,18990.0,950.0,2150.0,1330.0,1140.0,1030.0,910.0,745.0,540.0,440.0,345.0,685.0
Whitehorse,51850.0,1790.0,9165.0,2710.0,2525.0,2320.0,2070.0,2045.0,2095.0,1845.0,1685.0,1480.0
Williams Lake,38750.0,2290.0,3820.0,2870.0,2465.0,2110.0,1620.0,1305.0,1095.0,880.0,640.0,1720.0
Windsor,693530.0,41290.0,62945.0,51515.0,44530.0,40335.0,31840.0,22765.0,17020.0,12420.0,10220.0,28435.0
Winkler,48580.0,3365.0,2035.0,4115.0,3445.0,3355.0,2350.0,1355.0,890.0,695.0,465.0,2375.0
Winnipeg,1358330.0,71045.0,112465.0,101725.0,88755.0,80075.0,63080.0,48245.0,35965.0,27455.0,21660.0,61495.0
Wood Buffalo,112670.0,3445.0,40580.0,4470.0,3950.0,3625.0,3165.0,2770.0,2405.0,2320.0,2225.0,4815.0
Woodstock,75450.0,4390.0,5385.0,5595.0,4780.0,4645.0,4095.0,3095.0,2135.0,1510.0,1065.0,2510.0
Yellowknife,31580.0,855.0,10270.0,1195.0,1110.0,1085.0,1020.0,940.0,1040.0,940.0,945.0,1435.0
Yorkton,31830.0,1755.0,2845.0,2415.0,2050.0,1870.0,1545.0,1230.0,875.0,630.0,550.0,1005.0
